benchmark,instance,result,time,comment
Benchmarks/Basic/Dynamics: Open cases,Scripted proof,proved,1223,timeout=60000 | QE=515 | RCF=0 | proof_steps=593 | tactic_size=2
Benchmarks/Basic/Dynamics: Closed cases,Scripted proof,proved,719,timeout=60000 | QE=228 | RCF=0 | proof_steps=398 | tactic_size=2
Benchmarks/Basic/Dynamics: Conserved quantity,Scripted proof,proved,1087,timeout=60000 | QE=397 | RCF=0 | proof_steps=513 | tactic_size=2
Benchmarks/Basic/Dynamics: Darboux equality,Scripted proof,proved,835,timeout=60000 | QE=296 | RCF=0 | proof_steps=506 | tactic_size=2
Benchmarks/Basic/Dynamics: Fractional Darboux equality,Scripted proof,proved,6037,timeout=60000 | QE=177 | RCF=0 | proof_steps=262 | tactic_size=3
Benchmarks/Basic/Dynamics: Darboux inequality,Scripted proof,proved,380,timeout=60000 | QE=173 | RCF=0 | proof_steps=215 | tactic_size=3
Benchmarks/Basic/Dynamics: Bifurcation,Scripted proof,proved,2288,timeout=60000 | QE=1780 | RCF=0 | proof_steps=1500 | tactic_size=35
Benchmarks/Basic/Dynamics: Parametric switching between two different damped oscillators,Scripted proof,proved,8835,timeout=60000 | QE=2075 | RCF=0 | proof_steps=1775 | tactic_size=11
Benchmarks/Basic/Dynamics: Nonlinear 1,Scripted proof,proved,886,timeout=60000 | QE=293 | RCF=0 | proof_steps=423 | tactic_size=2
Benchmarks/Basic/Dynamics: Nonlinear 2,Scripted proof,proved,877,timeout=60000 | QE=330 | RCF=0 | proof_steps=454 | tactic_size=2
Benchmarks/Basic/Dynamics: Nonlinear 4,Scripted proof,proved,957,timeout=60000 | QE=362 | RCF=0 | proof_steps=452 | tactic_size=2
Benchmarks/Basic/Dynamics: Nonlinear 5,Scripted proof,proved,796,timeout=60000 | QE=293 | RCF=0 | proof_steps=387 | tactic_size=2
Benchmarks/Basic/Dynamics: Riccati,Scripted proof,proved,899,timeout=60000 | QE=305 | RCF=0 | proof_steps=274 | tactic_size=2
